Accession,Gene Symbol,Description,mean_CLIP_enrichment,CLIP-seq FDR,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),candidate_group,binding_site_count,n_sites_detected_2plus_libraries,n_sites_detected_3_libraries,max_detected_libraries,mean_detected_libraries,depth_max_35L33G,depth_mean_35L33G,depth_max_2J3,depth_mean_2J3,depth_max_polyclonal,depth_mean_polyclonal,entropy_max_35L33G,entropy_mean_35L33G,entropy_max_2J3,entropy_mean_2J3,entropy_max_polyclonal,entropy_mean_polyclonal,has_binding_site
NM_008102,Gch1,GTP cyclohydrolase 1 precursor,0.7133100870481567,1.0,,-0.282893339562,Not_candidate,2,1.0,0.0,2.0,1.5,30.0,30.0,64.0,41.5,,,1.06060180561,1.06060180561,1.01716435092,1.006878736857,,,True
NM_008103,Gcm1,chorion-specific transcription factor GCMa,,,,-0.46106242598,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008104,Gcm2,chorion-specific transcription factor GCMb,,,,1.66430888482,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008109,Gdf5,growth/differentiation factor 5 precursor,,,,-1.10817882379,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008110,Gdf9,growth/differentiation factor 9 precursor,,,,0.395766994044,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008113,Arhgdig,rho GDP-dissociation inhibitor 3,-1.5284731352535366,0.999999999990223,,-0.28482411751,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008115,Gfra2,GDNF family receptor alpha-2 precursor,,,,1.28090053856,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008116,Ggt1,gamma-glutamyltranspeptidase 1 precursor,-1.01362889089308,0.999999999990223,,0.144693206872,Not_candidate,1,0.0,0.0,1.0,1.0,16.0,16.0,,,,,0.947057152283,0.947057152283,,,,,True
NM_008119,Gip,gastric inhibitory polypeptide precursor,,,,0.0,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008120,Gja4,gap junction alpha-4 protein,,,,0.928927807232,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008121,Gja5,gap junction alpha-5 protein,,,,-0.516304412541,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008123,Gja8,gap junction alpha-8 protein,,,,0.0,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008124,Gjb1,gap junction beta-1 protein,-0.7722694147299317,0.999999999990223,,-0.0433214937908,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008125,Gjb2,gap junction beta-2 protein,,,,-0.789670384162,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008127,Gjb4,gap junction beta-4 protein,-0.806937742161125,0.999999999990223,,-0.724441502815,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008130,Gli3,transcriptional activator GLI3,0.22431606338316054,0.882091519256081,,0.703681560292,Not_candidate,1,0.0,0.0,1.0,1.0,,,,,25.0,25.0,,,,,1.07681866721,1.07681866721,True
NM_008135,Slc6a9,sodium- and chloride-dependent glycine transporter 1,-0.389364135650087,0.999999999990223,,-1.12563057106,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008137,Gna14,guanine nucleotide-binding protein subunit,,,,0.220788607471,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008139,Gnaq,guanine nucleotide-binding protein G(q) subunit alpha,0.8658080980746702,0.439827295466234,,-0.229127588475,Not_candidate,17,9.0,4.0,3.0,1.7647058823529411,96.0,37.083333333333336,127.0,38.111111111111114,106.0,35.666666666666664,1.26647377419,1.0024255805614166,1.04865378936,0.8484757071741111,1.37234044655,0.8314874027528889,True
NM_008140,Gnat1,guanine nucleotide-binding protein G(t) subunit alpha-1,,,,1.10939323338,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008141,Gnat2,guanine nucleotide-binding protein G(t) subunit alpha-2,,,,-1.01744146559,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008145,Gnrh1,progonadoliberin-1 precursor,,,,0.0,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008148,Gp5,platelet glycoprotein V precursor,,,,1.94617249186,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008149,Gpam,"glycerol-3-phosphate acyltransferase 1, mitochondrial precursor",0.17211301954931665,0.915866170451509,,0.0540841528352,Not_candidate,8,6.0,2.0,3.0,2.0,84.0,32.75,86.0,30.2,65.0,33.714285714285715,1.08321257032,0.8251530694439999,0.818842333785,0.7226658653328,1.09861228867,0.8963960510131429,True
NM_008150,Gpc4,glypican-4 precursor,1.9583174878556733,0.0497843406844549,,0.255681483142,Not_candidate,13,7.0,5.0,3.0,1.9230769230769231,163.0,43.81818181818182,151.0,68.14285714285714,104.0,54.142857142857146,1.08753147529,0.9002500312278182,1.19836770305,0.8268939060172856,1.03999645695,0.7966915955254285,True
NM_008153,Cmklr1,chemokine-like receptor 1,0.346158882618315,0.788039603339715,,-0.00135303470191,Not_candidate,3,2.0,2.0,3.0,2.3333333333333335,55.0,50.5,77.0,51.333333333333336,48.0,38.0,1.07306552356,0.8899433443725,1.13568188722,1.0776525368566665,0.732133461117,0.6006769047795,True
NM_008154,Gpr3,G-protein coupled receptor 3,,,,-0.699771115649,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008156,Gpld1,phosphatidylinositol-glycan-specific phospholipase D precursor,,,,-0.161656874689,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008158,Gpr27,probable G-protein coupled receptor 27,,,,-0.806854714526,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008166,Grid1,glutamate receptor delta-1 subunit precursor,,,,1.8606665577,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008168,Grik5,"glutamate receptor, ionotropic kainate 5 precursor",-2.26073850489886,0.999999999990223,,0.649610911565,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008170,Grin2a,glutamate [NMDA] receptor subunit epsilon-1 precursor,,,,0.758892232142,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008171,Grin2b,glutamate [NMDA] receptor subunit epsilon-2 precursor,,,,0.0,Not_candidate,0,,,,,,,,,,,,,,,,,False
NM_008172,Grin2d,glutamate [NMDA] receptor subunit epsilon-4 precursor,,,,1.64536295849,Not_candidate,0,,,,,,,,,,,,,,,,,False
