Accession,Gene Symbol,Description,candidate_group,high_confidence,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),mean_CLIP_enrichment,CLIP-seq FDR,total_binding_site_count,binding_site_count,dominant_binding_region,5UTR_site_count,CDS_site_count,3UTR_site_count,is_ER_or_protein_folding,is_membrane_or_transmembrane,is_secretory_or_extracellular,is_Golgi_or_trafficking,is_lysosome_or_endosome,is_receptor_or_signaling,is_transporter_or_channel,is_adhesion_or_ECM,is_other_or_unclear,is_adhesion_or_ECM,ER_membrane_core,ER_membrane_broad
NM_026430,Uxs1,UDP-glucuronic acid decarboxylase 1,Not_candidate,False,1.07398750366511,-0.693794333233,0.6897630893559737,0.553296392975411,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_025859,Arl1,ADP-ribosylation factor-like protein 1,Not_candidate,False,1.07084217214312,-0.432326122888,-0.4620762911360256,0.999999999990223,9,9,CDS,1,7,1,False,False,False,False,False,False,False,False,True,False,False,False
NM_028072,Sulf2,extracellular sulfatase Sulf-2 precursor,Not_candidate,False,1.05018027979691,0.377106293715,0.3870827135422174,0.763650433648818,0,0,none,0,0,0,False,False,True,False,False,False,False,False,False,False,True,True
NM_026210,Fam18b,protein FAM18B1,A_and_B_overlap,True,1.04629294715167,-0.448330620785,1.9849904420917168,0.0450799450564029,12,12,3UTR,0,3,9,False,False,False,False,False,False,False,False,True,False,False,False
NM_008604,Mme,neprilysin,Not_candidate,False,1.04530094108865,0.120051041948,0.9169235855458764,0.413193179473803,14,14,CDS,0,12,2,False,False,False,False,False,False,False,False,True,False,False,False
NM_139061,Vps54,vacuolar protein sorting-associated protein 54,Not_candidate,False,1.04390266824843,0.0987720398894,1.3917444835176198,0.186355084321422,0,0,none,0,0,0,False,False,False,True,True,False,False,False,False,False,True,True
NM_139272,Galnt2,polypeptide N-acetylgalactosaminyltransferase 2 precursor,Not_candidate,False,1.03659848170383,0.566081452177,0.3012355287702437,0.828645133137149,10,10,3UTR,0,4,6,False,False,False,False,False,False,False,False,True,False,False,False
NM_019953,Cnpy2,protein canopy homolog 2 precursor,Not_candidate,False,1.03511409108301,-0.502196229813,0.9137603963891812,0.411841888093629,10,10,CDS,3,6,1,False,False,False,False,False,False,False,False,True,False,False,False
NM_010515,Igf2r,cation-independent mannose-6-phosphate receptor,Not_candidate,False,1.03423956320227,-0.358895946126,1.6951712987195933,0.0962762353501154,79,79,CDS,0,73,6,False,False,False,False,False,True,False,False,False,False,False,False
NM_008983,Ptprk,receptor-type tyrosine-protein phosphatase kappa precursor,Not_candidate,False,1.03342108592143,0.0236588735219,1.4443425570008568,0.169948577619428,31,31,CDS,0,29,2,False,False,False,False,False,True,False,False,False,False,False,False
