Accession,Gene Symbol,CLIP-seq p-value,CLIP-seq FDR,RNA-seq reads (for normalization),CLIP-seq reads (35L33G),"CLIP-seq enrichment (35L33G, log2)",CLIP-seq reads (2J3),"CLIP-seq enrichment (2J3, log2)",CLIP-seq reads (polyclonal),"CLIP-seq enrichment (polyclonal, log2)",Ribosome density change (log2),Ribosome occupancy change (log2),RPF  reads (siLuc),RNA-seq short tag alignment reads (siLuc),RPF  reads (siLin28a),RNA-seq short tag alignment reads (siLin28a),"RNA-seq reads (untreated, RPKM)","RNA-seq reads (siLuc, RPKM)","RNA-seq reads (siLin28a, RPKM)",RNA-seq mRNA change upon Lin28a KD (log2),Description
NM_013711,Txnrd2,0.188907539321694,0.822288474300838,74.0,113.0,0.60407132366886,70.0,-0.0790715709911988,95.0,0.356143810225275,,,,,,,5.47744867073,3.44285885156,5.47744867073,-0.65469134216,"thioredoxin reductase 2, mitochondrial precursor"
NM_013712,Itgb1bp2,,,,,,,,,,,,,,,,0.931156498103,0.161029379497,0.931156498103,-1.98197920651,integrin beta-1-binding protein 2
NM_013719,Eif2ak4,0.76186981384434,0.999999999990223,470.0,327.0,-0.522031244994699,243.0,-0.948845912049897,213.0,-1.13811626321163,,,,,,,12.5743935568,12.321712968,12.5743935568,-0.0290525824145,eukaryotic translation initiation factor 2-alpha kinase 4 isoform 1
NM_013722,Syn3,,,,,,,,,,,,,,,,0.41143137671,0.628498823758,0.41143137671,0.51038596915,synapsin-3 isoform 1
NM_013723,Podxl,0.062859472695666,0.466910729727187,249.0,488.0,0.967906370290146,401.0,0.685267406516841,435.0,0.802400040114839,,,,,,,7.78060160797,9.55114193059,7.78060160797,0.292393883529,podocalyxin precursor
NM_013724,Nrk,0.61662298296547,0.999999999990223,57.0,26.0,-1.1030934929641,48.0,-0.243271151012363,44.0,-0.366127898797897,,,,,,,1.66156381682,2.55454256329,1.66156381682,0.591606533189,nik-related protein kinase
NM_013729,Mixl1,,,,,,,,,,,,,,,,0.175329161504,0.955096273805,0.175329161504,1.93814531949,homeobox protein MIXL1
NM_013731,Sgk2,0.943010081816885,0.999999999990223,108.0,31.0,-1.76818432477692,33.0,-1.68072148352658,52.0,-1.04026387021372,,,,,,,4.68374404809,3.97255424978,4.68374404809,-0.232206284135,serine/threonine-protein kinase Sgk2
NM_013734,Atp1a4,,,,,,,,,,,,,,,,0.57579404689,0.149362258027,0.57579404689,-1.43834051773,sodium/potassium-transporting ATPase subunit alpha-4
NM_013736,Tceb3,0.790337084972774,0.999999999990223,391.0,228.0,-0.775506056018264,189.0,-1.04485423578426,208.0,-0.907350712034325,,,,,,,11.7112396323,10.383344116,11.7112396323,-0.172061388461,transcription elongation factor B polypeptide 3
NM_013737,Pla2g7,0.0517832226098315,0.419110280478157,50.0,123.0,1.28177096841537,80.0,0.667424660913129,80.0,0.667424660913129,,,,,,,4.33113384548,3.968512298,4.33113384548,-0.123174553514,platelet-activating factor acetylhydrolase
NM_013738,Plek2,,,,,,,,,,,,,,,,1.2075216655,1.54379520208,1.2075216655,0.330195715083,pleckstrin-2
NM_013739,Dok3,,,,,,,,,,,,,,,,0.173060996413,0.404031670807,0.173060996413,0.884291131636,docking protein 3
NM_013743,Pdk4,0.241710581708848,0.918865389671777,56.0,59.0,0.0740005814437767,58.0,0.0497530351970997,74.0,0.395928676331139,,,,,,,2.32452042098,2.65313740467,2.32452042098,0.18337720917,"pyruvate dehydrogenase kinase, isozyme 4"
NM_013744,Zfp354b,,,,,,,,,,,,,,,,1.18006227145,0.417423792481,1.18006227145,-1.30679569551,zinc finger protein 354B
NM_013746,Plekhb1,0.992167929864987,0.999999999990223,62.0,19.0,-1.65535182861255,7.0,-2.97727992349991,14.0,-2.07038932789139,,,,,,,3.04921389946,3.93803516968,3.04921389946,0.358661725154,pleckstrin homology domain-containing family B member 1 isoform a
NM_013748,Clnk,,,,,,,,,,,,,,,,0.422539956498,0.657646834142,0.422539956498,0.535984155729,cytokine-dependent hematopoietic cell linker
NM_013749,Tnfrsf12a,0.290733342106241,0.991476257036506,99.0,99.0,0.0,104.0,0.070389327891398,108.0,0.124328135002201,,,,,,,7.90180369219,6.04135508322,7.90180369219,-0.381768215772,tumor necrosis factor receptor superfamily member 12A isoform 1
NM_013751,Hrasls,,,,,,,,,,,,,,,,0.0,0.0357137200153,0.0,0.440566577776,HRAS-like suppressor
NM_013754,Insl6,,,,,,,,,,,,,,,,2.83767591391,1.41962037061,2.83767591391,-0.950964289066,insulin-like peptide INSL6 precursor
NM_013755,Gyg,1.0,1.0,44.0,78.0,0.811927651847428,17.0,0.0,19.0,0.0,,,,,,,3.51220931169,4.91980455159,3.51220931169,0.474749700179,glycogenin-1
NM_013757,Sytl4,,,,,,,,,,,,,,,,0.0,0.0279552883579,0.0,0.35563977481,synaptotagmin-like protein 4
NM_013759,Sepx1,0.975177985087702,0.999999999990223,167.0,66.0,-1.32622823232098,41.0,-2.0,40.0,-2.03476541816067,,,,,,,12.9850439273,21.6201025592,12.9850439273,0.731112147748,methionine-R-sulfoxide reductase B1
